experiment_id,video_id,model_name,technique_name,rag_enabled,gt_ingredient_count,pred_ingredient_count,true_positives,false_positives
2447,20,MedGemma 4B,few-shot,0,8,11,88,0
2448,20,MedGemma 4B,chain-of-thought,0,8,15,120,0
2449,20,MedGemma 4B,structured-output,0,8,12,96,0
2450,31,Llama 3.2 3B Instruct,zero-shot,0,8,8,64,0
2451,31,Llama 3.2 3B Instruct,few-shot,0,8,7,56,0
2452,31,Llama 3.2 3B Instruct,chain-of-thought,0,8,7,56,0
2453,31,Llama 3.2 3B Instruct,structured-output,0,8,3,24,0
2454,31,Phi-4-mini 3.8B Instruct,zero-shot,0,8,2,16,0
2455,31,Phi-4-mini 3.8B Instruct,few-shot,0,8,7,56,0
2456,31,Phi-4-mini 3.8B Instruct,chain-of-thought,0,8,7,56,0
2457,31,Phi-4-mini 3.8B Instruct,structured-output,0,8,2,16,0
2458,31,Qwen 2.5 3B Instruct,zero-shot,0,8,7,56,0
2459,31,Qwen 2.5 3B Instruct,few-shot,0,8,7,56,0
2460,31,Qwen 2.5 3B Instruct,chain-of-thought,0,8,7,56,0
2461,31,Qwen 2.5 3B Instruct,structured-output,0,8,7,56,0
2462,31,Gemma-SEA-LION v4 4B,zero-shot,0,8,8,64,0
2463,31,Gemma-SEA-LION v4 4B,few-shot,0,8,8,64,0
2464,31,Gemma-SEA-LION v4 4B,chain-of-thought,0,8,8,64,0
2465,31,Gemma-SEA-LION v4 4B,structured-output,0,8,8,64,0
2466,31,MedGemma 4B,zero-shot,0,8,8,64,0
2467,31,MedGemma 4B,few-shot,0,8,10,80,0
2468,31,MedGemma 4B,chain-of-thought,0,8,8,64,0
2469,31,MedGemma 4B,structured-output,0,8,8,64,0
2470,32,Llama 3.2 3B Instruct,zero-shot,0,7,6,42,0
2471,32,Llama 3.2 3B Instruct,few-shot,0,7,6,42,0
2472,32,Llama 3.2 3B Instruct,chain-of-thought,0,7,6,42,0
2473,32,Llama 3.2 3B Instruct,structured-output,0,7,7,49,0
2474,32,Phi-4-mini 3.8B Instruct,zero-shot,0,7,3,21,0
2475,32,Phi-4-mini 3.8B Instruct,few-shot,0,7,4,28,0
2476,32,Phi-4-mini 3.8B Instruct,chain-of-thought,0,7,7,49,0
2477,32,Phi-4-mini 3.8B Instruct,structured-output,0,7,3,21,0
2478,32,Qwen 2.5 3B Instruct,zero-shot,0,7,5,35,0
2479,32,Qwen 2.5 3B Instruct,few-shot,0,7,6,42,0
2480,32,Qwen 2.5 3B Instruct,chain-of-thought,0,7,6,42,0
2481,32,Qwen 2.5 3B Instruct,structured-output,0,7,7,49,0
2482,32,Gemma-SEA-LION v4 4B,zero-shot,0,7,6,42,0
2483,32,Gemma-SEA-LION v4 4B,few-shot,0,7,6,42,0
2484,32,Gemma-SEA-LION v4 4B,chain-of-thought,0,7,6,42,0
2485,32,Gemma-SEA-LION v4 4B,structured-output,0,7,6,42,0
2486,32,MedGemma 4B,zero-shot,0,7,6,42,0
2487,32,MedGemma 4B,few-shot,0,7,6,42,0
2488,32,MedGemma 4B,chain-of-thought,0,7,6,42,0
2489,32,MedGemma 4B,structured-output,0,7,6,42,0
2490,33,Llama 3.2 3B Instruct,zero-shot,0,5,1,5,0
2491,33,Llama 3.2 3B Instruct,few-shot,0,5,8,40,0
2492,33,Llama 3.2 3B Instruct,chain-of-thought,0,5,1,5,0
2495,33,Phi-4-mini 3.8B Instruct,few-shot,0,5,4,20,0
2496,33,Phi-4-mini 3.8B Instruct,chain-of-thought,0,5,2,10,0
2498,33,Qwen 2.5 3B Instruct,zero-shot,0,5,5,25,0
2499,33,Qwen 2.5 3B Instruct,few-shot,0,5,4,20,0
2500,33,Qwen 2.5 3B Instruct,chain-of-thought,0,5,5,25,0
2501,33,Qwen 2.5 3B Instruct,structured-output,0,5,4,20,0
2502,33,Gemma-SEA-LION v4 4B,zero-shot,0,5,5,25,0
2503,33,Gemma-SEA-LION v4 4B,few-shot,0,5,5,25,0
2504,33,Gemma-SEA-LION v4 4B,chain-of-thought,0,5,5,25,0
2505,33,Gemma-SEA-LION v4 4B,structured-output,0,5,5,25,0
2506,33,MedGemma 4B,zero-shot,0,5,5,25,0
2507,33,MedGemma 4B,few-shot,0,5,5,25,0
2508,33,MedGemma 4B,chain-of-thought,0,5,5,25,0
2509,33,MedGemma 4B,structured-output,0,5,5,25,0
2510,34,Llama 3.2 3B Instruct,zero-shot,0,12,13,156,0
2511,34,Llama 3.2 3B Instruct,few-shot,0,12,13,156,0
2512,34,Llama 3.2 3B Instruct,chain-of-thought,0,12,9,108,0
2513,34,Llama 3.2 3B Instruct,structured-output,0,12,12,144,0
2514,34,Phi-4-mini 3.8B Instruct,zero-shot,0,12,10,120,0
2515,34,Phi-4-mini 3.8B Instruct,few-shot,0,12,13,156,0
2516,34,Phi-4-mini 3.8B Instruct,chain-of-thought,0,12,13,156,0
2517,34,Phi-4-mini 3.8B Instruct,structured-output,0,12,9,108,0
2518,34,Qwen 2.5 3B Instruct,zero-shot,0,12,12,144,0
2519,34,Qwen 2.5 3B Instruct,few-shot,0,12,12,144,0
2520,34,Qwen 2.5 3B Instruct,chain-of-thought,0,12,10,120,0
2521,34,Qwen 2.5 3B Instruct,structured-output,0,12,12,144,0
2522,34,Gemma-SEA-LION v4 4B,zero-shot,0,12,13,156,0
2523,34,Gemma-SEA-LION v4 4B,few-shot,0,12,9,108,0
2524,34,Gemma-SEA-LION v4 4B,chain-of-thought,0,12,12,144,0
2525,34,Gemma-SEA-LION v4 4B,structured-output,0,12,12,144,0
2526,34,MedGemma 4B,zero-shot,0,12,13,156,0
2527,34,MedGemma 4B,few-shot,0,12,13,156,0
2528,34,MedGemma 4B,chain-of-thought,0,12,13,156,0
2529,34,MedGemma 4B,structured-output,0,12,12,144,0
2530,35,Llama 3.2 3B Instruct,zero-shot,0,9,14,126,0
2531,35,Llama 3.2 3B Instruct,few-shot,0,9,4,36,0
2532,35,Llama 3.2 3B Instruct,chain-of-thought,0,9,8,72,0
2533,35,Llama 3.2 3B Instruct,structured-output,0,9,9,81,0
2534,35,Phi-4-mini 3.8B Instruct,zero-shot,0,9,10,90,0
2535,35,Phi-4-mini 3.8B Instruct,few-shot,0,9,5,45,0
2536,35,Phi-4-mini 3.8B Instruct,chain-of-thought,0,9,9,81,0
2537,35,Phi-4-mini 3.8B Instruct,structured-output,0,9,10,90,0
2538,35,Qwen 2.5 3B Instruct,zero-shot,0,9,6,54,0
2539,35,Qwen 2.5 3B Instruct,few-shot,0,9,5,45,0
2540,35,Qwen 2.5 3B Instruct,chain-of-thought,0,9,6,54,0
2541,35,Qwen 2.5 3B Instruct,structured-output,0,9,6,54,0
2542,35,Gemma-SEA-LION v4 4B,zero-shot,0,9,9,81,0
2543,35,Gemma-SEA-LION v4 4B,few-shot,0,9,8,72,0
2544,35,Gemma-SEA-LION v4 4B,chain-of-thought,0,9,9,81,0
2545,35,Gemma-SEA-LION v4 4B,structured-output,0,9,9,81,0
2546,35,MedGemma 4B,zero-shot,0,9,8,72,0
2547,35,MedGemma 4B,few-shot,0,9,8,72,0
2548,35,MedGemma 4B,chain-of-thought,0,9,8,72,0
2549,35,MedGemma 4B,structured-output,0,9,8,72,0
2550,36,Llama 3.2 3B Instruct,zero-shot,0,11,5,55,0
2551,36,Llama 3.2 3B Instruct,few-shot,0,11,9,99,0
2552,36,Llama 3.2 3B Instruct,chain-of-thought,0,11,10,110,0
2553,36,Llama 3.2 3B Instruct,structured-output,0,11,8,88,0
2555,36,Phi-4-mini 3.8B Instruct,few-shot,0,11,9,99,0
2556,36,Phi-4-mini 3.8B Instruct,chain-of-thought,0,11,8,88,0
2557,36,Phi-4-mini 3.8B Instruct,structured-output,0,11,11,121,0
2558,36,Qwen 2.5 3B Instruct,zero-shot,0,11,6,66,0
2559,36,Qwen 2.5 3B Instruct,few-shot,0,11,8,88,0
2560,36,Qwen 2.5 3B Instruct,chain-of-thought,0,11,2,22,0
2561,36,Qwen 2.5 3B Instruct,structured-output,0,11,8,88,0
2562,36,Gemma-SEA-LION v4 4B,zero-shot,0,11,10,110,0
2563,36,Gemma-SEA-LION v4 4B,few-shot,0,11,9,99,0
2564,36,Gemma-SEA-LION v4 4B,chain-of-thought,0,11,11,121,0
2565,36,Gemma-SEA-LION v4 4B,structured-output,0,11,11,121,0
2566,36,MedGemma 4B,zero-shot,0,11,11,121,0
2567,36,MedGemma 4B,few-shot,0,11,11,121,0
2568,36,MedGemma 4B,chain-of-thought,0,11,10,110,0
2569,36,MedGemma 4B,structured-output,0,11,11,121,0
2570,37,Llama 3.2 3B Instruct,zero-shot,0,7,5,35,0
2571,37,Llama 3.2 3B Instruct,few-shot,0,7,7,49,0
2572,37,Llama 3.2 3B Instruct,chain-of-thought,0,7,3,21,0
2573,37,Llama 3.2 3B Instruct,structured-output,0,7,5,35,0
2574,37,Phi-4-mini 3.8B Instruct,zero-shot,0,7,8,56,0
2575,37,Phi-4-mini 3.8B Instruct,few-shot,0,7,10,70,0
2576,37,Phi-4-mini 3.8B Instruct,chain-of-thought,0,7,12,84,0
2578,37,Qwen 2.5 3B Instruct,zero-shot,0,7,7,49,0
2579,37,Qwen 2.5 3B Instruct,few-shot,0,7,4,28,0
2580,37,Qwen 2.5 3B Instruct,chain-of-thought,0,7,7,49,0
2581,37,Qwen 2.5 3B Instruct,structured-output,0,7,6,42,0
2582,37,Gemma-SEA-LION v4 4B,zero-shot,0,7,8,56,0
2583,37,Gemma-SEA-LION v4 4B,few-shot,0,7,6,42,0
2584,37,Gemma-SEA-LION v4 4B,chain-of-thought,0,7,8,56,0
2585,37,Gemma-SEA-LION v4 4B,structured-output,0,7,7,49,0
2586,37,MedGemma 4B,zero-shot,0,7,9,63,0
2587,37,MedGemma 4B,few-shot,0,7,9,63,0
2588,37,MedGemma 4B,chain-of-thought,0,7,9,63,0
2589,37,MedGemma 4B,structured-output,0,7,9,63,0
2590,38,Llama 3.2 3B Instruct,zero-shot,0,9,7,63,0
2591,38,Llama 3.2 3B Instruct,few-shot,0,9,3,27,0
2592,38,Llama 3.2 3B Instruct,chain-of-thought,0,9,8,72,0
2593,38,Llama 3.2 3B Instruct,structured-output,0,9,1,9,0
2594,38,Phi-4-mini 3.8B Instruct,zero-shot,0,9,8,72,0
2595,38,Phi-4-mini 3.8B Instruct,few-shot,0,9,5,45,0
2596,38,Phi-4-mini 3.8B Instruct,chain-of-thought,0,9,5,45,0
2597,38,Phi-4-mini 3.8B Instruct,structured-output,0,9,8,72,0
2598,38,Qwen 2.5 3B Instruct,zero-shot,0,9,7,63,0
2599,38,Qwen 2.5 3B Instruct,few-shot,0,9,4,36,0
2600,38,Qwen 2.5 3B Instruct,chain-of-thought,0,9,5,45,0
2601,38,Qwen 2.5 3B Instruct,structured-output,0,9,5,45,0
2602,38,Gemma-SEA-LION v4 4B,zero-shot,0,9,7,63,0
2603,38,Gemma-SEA-LION v4 4B,few-shot,0,9,7,63,0
2604,38,Gemma-SEA-LION v4 4B,chain-of-thought,0,9,8,72,0
2605,38,Gemma-SEA-LION v4 4B,structured-output,0,9,8,72,0
2606,38,MedGemma 4B,zero-shot,0,9,8,72,0
2607,38,MedGemma 4B,few-shot,0,9,9,81,0
2608,38,MedGemma 4B,chain-of-thought,0,9,8,72,0
2609,38,MedGemma 4B,structured-output,0,9,8,72,0
2610,39,Llama 3.2 3B Instruct,zero-shot,0,10,4,40,0
2611,39,Llama 3.2 3B Instruct,few-shot,0,10,5,50,0
2612,39,Llama 3.2 3B Instruct,chain-of-thought,0,10,10,100,0
2613,39,Llama 3.2 3B Instruct,structured-output,0,10,8,80,0
2614,39,Phi-4-mini 3.8B Instruct,zero-shot,0,10,4,40,0
2617,39,Phi-4-mini 3.8B Instruct,structured-output,0,10,4,40,0
2618,39,Qwen 2.5 3B Instruct,zero-shot,0,10,4,40,0
2619,39,Qwen 2.5 3B Instruct,few-shot,0,10,4,40,0
2620,39,Qwen 2.5 3B Instruct,chain-of-thought,0,10,4,40,0
2621,39,Qwen 2.5 3B Instruct,structured-output,0,10,4,40,0
2622,39,Gemma-SEA-LION v4 4B,zero-shot,0,10,4,40,0
2623,39,Gemma-SEA-LION v4 4B,few-shot,0,10,4,40,0
2624,39,Gemma-SEA-LION v4 4B,chain-of-thought,0,10,4,40,0
2625,39,Gemma-SEA-LION v4 4B,structured-output,0,10,4,40,0
2626,39,MedGemma 4B,zero-shot,0,10,4,40,0
2627,39,MedGemma 4B,few-shot,0,10,4,40,0
2628,39,MedGemma 4B,chain-of-thought,0,10,4,40,0
2629,39,MedGemma 4B,structured-output,0,10,4,40,0
2630,40,Llama 3.2 3B Instruct,zero-shot,0,9,8,72,0
2631,40,Llama 3.2 3B Instruct,few-shot,0,9,9,81,0
2632,40,Llama 3.2 3B Instruct,chain-of-thought,0,9,8,72,0
2633,40,Llama 3.2 3B Instruct,structured-output,0,9,8,72,0
2634,40,Phi-4-mini 3.8B Instruct,zero-shot,0,9,2,18,0
2635,40,Phi-4-mini 3.8B Instruct,few-shot,0,9,6,54,0
2636,40,Phi-4-mini 3.8B Instruct,chain-of-thought,0,9,15,135,0
2637,40,Phi-4-mini 3.8B Instruct,structured-output,0,9,3,27,0
2638,40,Qwen 2.5 3B Instruct,zero-shot,0,9,8,72,0
2639,40,Qwen 2.5 3B Instruct,few-shot,0,9,9,81,0
2640,40,Qwen 2.5 3B Instruct,chain-of-thought,0,9,4,36,0
2641,40,Qwen 2.5 3B Instruct,structured-output,0,9,6,54,0
2646,40,MedGemma 4B,zero-shot,0,9,12,108,0
2647,40,MedGemma 4B,few-shot,0,9,12,108,0
2648,40,MedGemma 4B,chain-of-thought,0,9,10,90,0
2649,40,MedGemma 4B,structured-output,0,9,12,108,0
2650,41,Llama 3.2 3B Instruct,zero-shot,0,13,12,156,0
2651,41,Llama 3.2 3B Instruct,few-shot,0,13,10,130,0
2652,41,Llama 3.2 3B Instruct,chain-of-thought,0,13,12,156,0
2653,41,Llama 3.2 3B Instruct,structured-output,0,13,11,143,0
2654,41,Phi-4-mini 3.8B Instruct,zero-shot,0,13,3,39,0
2655,41,Phi-4-mini 3.8B Instruct,few-shot,0,13,4,52,0
2656,41,Phi-4-mini 3.8B Instruct,chain-of-thought,0,13,4,52,0
2657,41,Phi-4-mini 3.8B Instruct,structured-output,0,13,3,39,0
2658,41,Qwen 2.5 3B Instruct,zero-shot,0,13,4,52,0
2659,41,Qwen 2.5 3B Instruct,few-shot,0,13,4,52,0
2660,41,Qwen 2.5 3B Instruct,chain-of-thought,0,13,4,52,0
2661,41,Qwen 2.5 3B Instruct,structured-output,0,13,4,52,0
2662,41,Gemma-SEA-LION v4 4B,zero-shot,0,13,11,143,0
2663,41,Gemma-SEA-LION v4 4B,few-shot,0,13,10,130,0
2664,41,Gemma-SEA-LION v4 4B,chain-of-thought,0,13,11,143,0
2665,41,Gemma-SEA-LION v4 4B,structured-output,0,13,11,143,0
2666,41,MedGemma 4B,zero-shot,0,13,12,156,0
2667,41,MedGemma 4B,few-shot,0,13,11,143,0
2668,41,MedGemma 4B,chain-of-thought,0,13,11,143,0
2669,41,MedGemma 4B,structured-output,0,13,11,143,0
2670,42,Llama 3.2 3B Instruct,zero-shot,0,9,7,63,0
2671,42,Llama 3.2 3B Instruct,few-shot,0,9,8,72,0
2672,42,Llama 3.2 3B Instruct,chain-of-thought,0,9,6,54,0
2673,42,Llama 3.2 3B Instruct,structured-output,0,9,8,72,0
2674,42,Phi-4-mini 3.8B Instruct,zero-shot,0,9,7,63,0
2675,42,Phi-4-mini 3.8B Instruct,few-shot,0,9,2,18,0
2676,42,Phi-4-mini 3.8B Instruct,chain-of-thought,0,9,4,36,0
2677,42,Phi-4-mini 3.8B Instruct,structured-output,0,9,2,18,0
2678,42,Qwen 2.5 3B Instruct,zero-shot,0,9,7,63,0
2679,42,Qwen 2.5 3B Instruct,few-shot,0,9,2,18,0
2680,42,Qwen 2.5 3B Instruct,chain-of-thought,0,9,8,72,0
2681,42,Qwen 2.5 3B Instruct,structured-output,0,9,8,72,0
2682,42,Gemma-SEA-LION v4 4B,zero-shot,0,9,9,81,0
2683,42,Gemma-SEA-LION v4 4B,few-shot,0,9,8,72,0
2684,42,Gemma-SEA-LION v4 4B,chain-of-thought,0,9,9,81,0
2685,42,Gemma-SEA-LION v4 4B,structured-output,0,9,9,81,0
2686,42,MedGemma 4B,zero-shot,0,9,10,90,0
2687,42,MedGemma 4B,few-shot,0,9,9,81,0
2688,42,MedGemma 4B,chain-of-thought,0,9,10,90,0
2689,42,MedGemma 4B,structured-output,0,9,10,90,0
2690,43,Llama 3.2 3B Instruct,zero-shot,0,5,1,5,0
2691,43,Llama 3.2 3B Instruct,few-shot,0,5,1,5,0
2692,43,Llama 3.2 3B Instruct,chain-of-thought,0,5,15,75,0
2693,43,Llama 3.2 3B Instruct,structured-output,0,5,12,60,0
2694,43,Phi-4-mini 3.8B Instruct,zero-shot,0,5,4,20,0
2695,43,Phi-4-mini 3.8B Instruct,few-shot,0,5,2,10,0
2696,43,Phi-4-mini 3.8B Instruct,chain-of-thought,0,5,13,65,0
2697,43,Phi-4-mini 3.8B Instruct,structured-output,0,5,12,60,0
2698,43,Qwen 2.5 3B Instruct,zero-shot,0,5,15,75,0
2699,43,Qwen 2.5 3B Instruct,few-shot,0,5,12,60,0
2700,43,Qwen 2.5 3B Instruct,chain-of-thought,0,5,11,55,0
2701,43,Qwen 2.5 3B Instruct,structured-output,0,5,3,15,0
2702,43,Gemma-SEA-LION v4 4B,zero-shot,0,5,13,65,0
2703,43,Gemma-SEA-LION v4 4B,few-shot,0,5,13,65,0
2704,43,Gemma-SEA-LION v4 4B,chain-of-thought,0,5,13,65,0
2705,43,Gemma-SEA-LION v4 4B,structured-output,0,5,13,65,0
2706,43,MedGemma 4B,zero-shot,0,5,16,80,0
2707,43,MedGemma 4B,few-shot,0,5,15,75,0
2708,43,MedGemma 4B,chain-of-thought,0,5,14,70,0
2709,43,MedGemma 4B,structured-output,0,5,15,75,0
2710,44,Llama 3.2 3B Instruct,zero-shot,0,7,5,35,0
2711,44,Llama 3.2 3B Instruct,few-shot,0,7,4,28,0
2712,44,Llama 3.2 3B Instruct,chain-of-thought,0,7,7,49,0
2713,44,Llama 3.2 3B Instruct,structured-output,0,7,8,56,0
2714,44,Phi-4-mini 3.8B Instruct,zero-shot,0,7,1,7,0
2715,44,Phi-4-mini 3.8B Instruct,few-shot,0,7,4,28,0
2716,44,Phi-4-mini 3.8B Instruct,chain-of-thought,0,7,5,35,0
2717,44,Phi-4-mini 3.8B Instruct,structured-output,0,7,4,28,0
2718,44,Qwen 2.5 3B Instruct,zero-shot,0,7,5,35,0
2719,44,Qwen 2.5 3B Instruct,few-shot,0,7,8,56,0
2720,44,Qwen 2.5 3B Instruct,chain-of-thought,0,7,12,84,0
2721,44,Qwen 2.5 3B Instruct,structured-output,0,7,11,77,0
2722,44,Gemma-SEA-LION v4 4B,zero-shot,0,7,8,56,0
2723,44,Gemma-SEA-LION v4 4B,few-shot,0,7,9,63,0
2724,44,Gemma-SEA-LION v4 4B,chain-of-thought,0,7,9,63,0
2725,44,Gemma-SEA-LION v4 4B,structured-output,0,7,11,77,0
2726,44,MedGemma 4B,zero-shot,0,7,12,84,0
2727,44,MedGemma 4B,few-shot,0,7,11,77,0
2728,44,MedGemma 4B,chain-of-thought,0,7,10,70,0
2729,44,MedGemma 4B,structured-output,0,7,12,84,0
2730,45,Llama 3.2 3B Instruct,zero-shot,0,21,13,273,0
2731,45,Llama 3.2 3B Instruct,few-shot,0,21,12,252,0
2732,45,Llama 3.2 3B Instruct,chain-of-thought,0,21,14,294,0
2733,45,Llama 3.2 3B Instruct,structured-output,0,21,15,315,0
2734,45,Phi-4-mini 3.8B Instruct,zero-shot,0,21,13,273,0
2735,45,Phi-4-mini 3.8B Instruct,few-shot,0,21,7,147,0
2736,45,Phi-4-mini 3.8B Instruct,chain-of-thought,0,21,3,63,0
2737,45,Phi-4-mini 3.8B Instruct,structured-output,0,21,3,63,0
2738,45,Qwen 2.5 3B Instruct,zero-shot,0,21,14,294,0
2739,45,Qwen 2.5 3B Instruct,few-shot,0,21,12,252,0
2740,45,Qwen 2.5 3B Instruct,chain-of-thought,0,21,8,168,0
2741,45,Qwen 2.5 3B Instruct,structured-output,0,21,11,231,0
2742,45,Gemma-SEA-LION v4 4B,zero-shot,0,21,16,336,0
2744,45,Gemma-SEA-LION v4 4B,chain-of-thought,0,21,13,273,0
2745,45,Gemma-SEA-LION v4 4B,structured-output,0,21,15,315,0
2746,45,MedGemma 4B,zero-shot,0,21,12,252,0
2747,45,MedGemma 4B,few-shot,0,21,16,336,0
2748,45,MedGemma 4B,chain-of-thought,0,21,17,357,0
2749,45,MedGemma 4B,structured-output,0,21,19,399,0
2750,46,Llama 3.2 3B Instruct,zero-shot,0,15,11,165,0
2751,46,Llama 3.2 3B Instruct,few-shot,0,15,10,150,0
2752,46,Llama 3.2 3B Instruct,chain-of-thought,0,15,11,165,0
2753,46,Llama 3.2 3B Instruct,structured-output,0,15,8,120,0
2754,46,Phi-4-mini 3.8B Instruct,zero-shot,0,15,2,30,0
2755,46,Phi-4-mini 3.8B Instruct,few-shot,0,15,2,30,0
2756,46,Phi-4-mini 3.8B Instruct,chain-of-thought,0,15,9,135,0
2757,46,Phi-4-mini 3.8B Instruct,structured-output,0,15,13,195,0
2758,46,Qwen 2.5 3B Instruct,zero-shot,0,15,9,135,0
2759,46,Qwen 2.5 3B Instruct,few-shot,0,15,10,150,0
2760,46,Qwen 2.5 3B Instruct,chain-of-thought,0,15,10,150,0
2761,46,Qwen 2.5 3B Instruct,structured-output,0,15,8,120,0
2762,46,Gemma-SEA-LION v4 4B,zero-shot,0,15,11,165,0
2763,46,Gemma-SEA-LION v4 4B,few-shot,0,15,11,165,0
2764,46,Gemma-SEA-LION v4 4B,chain-of-thought,0,15,11,165,0
2765,46,Gemma-SEA-LION v4 4B,structured-output,0,15,11,165,0
2766,46,MedGemma 4B,zero-shot,0,15,13,195,0
2767,46,MedGemma 4B,few-shot,0,15,13,195,0
2768,46,MedGemma 4B,chain-of-thought,0,15,14,210,0
2769,46,MedGemma 4B,structured-output,0,15,13,195,0
2770,47,Llama 3.2 3B Instruct,zero-shot,0,4,7,28,0
2771,47,Llama 3.2 3B Instruct,few-shot,0,4,6,24,0
2772,47,Llama 3.2 3B Instruct,chain-of-thought,0,4,9,36,0
2773,47,Llama 3.2 3B Instruct,structured-output,0,4,7,28,0
2774,47,Phi-4-mini 3.8B Instruct,zero-shot,0,4,3,12,0
2775,47,Phi-4-mini 3.8B Instruct,few-shot,0,4,1,4,0
2776,47,Phi-4-mini 3.8B Instruct,chain-of-thought,0,4,4,16,0
2777,47,Phi-4-mini 3.8B Instruct,structured-output,0,4,3,12,0
2778,47,Qwen 2.5 3B Instruct,zero-shot,0,4,7,28,0
2779,47,Qwen 2.5 3B Instruct,few-shot,0,4,4,16,0
2780,47,Qwen 2.5 3B Instruct,chain-of-thought,0,4,6,24,0
2781,47,Qwen 2.5 3B Instruct,structured-output,0,4,4,16,0
2782,47,Gemma-SEA-LION v4 4B,zero-shot,0,4,9,36,0
2783,47,Gemma-SEA-LION v4 4B,few-shot,0,4,10,40,0
2784,47,Gemma-SEA-LION v4 4B,chain-of-thought,0,4,9,36,0
2785,47,Gemma-SEA-LION v4 4B,structured-output,0,4,10,40,0
2786,47,MedGemma 4B,zero-shot,0,4,9,36,0
2787,47,MedGemma 4B,few-shot,0,4,9,36,0
2788,47,MedGemma 4B,chain-of-thought,0,4,9,36,0
2789,47,MedGemma 4B,structured-output,0,4,7,28,0
2790,48,Llama 3.2 3B Instruct,zero-shot,0,9,19,171,0
2791,48,Llama 3.2 3B Instruct,few-shot,0,9,15,135,0
2792,48,Llama 3.2 3B Instruct,chain-of-thought,0,9,15,135,0
2793,48,Llama 3.2 3B Instruct,structured-output,0,9,10,90,0
2794,48,Phi-4-mini 3.8B Instruct,zero-shot,0,9,9,81,0
2795,48,Phi-4-mini 3.8B Instruct,few-shot,0,9,10,90,0
2796,48,Phi-4-mini 3.8B Instruct,chain-of-thought,0,9,2,18,0
2797,48,Phi-4-mini 3.8B Instruct,structured-output,0,9,10,90,0
2798,48,Qwen 2.5 3B Instruct,zero-shot,0,9,8,72,0
2799,48,Qwen 2.5 3B Instruct,few-shot,0,9,8,72,0
2800,48,Qwen 2.5 3B Instruct,chain-of-thought,0,9,8,72,0
2801,48,Qwen 2.5 3B Instruct,structured-output,0,9,11,99,0
2802,48,Gemma-SEA-LION v4 4B,zero-shot,0,9,14,126,0
2803,48,Gemma-SEA-LION v4 4B,few-shot,0,9,13,117,0
2804,48,Gemma-SEA-LION v4 4B,chain-of-thought,0,9,14,126,0
2805,48,Gemma-SEA-LION v4 4B,structured-output,0,9,14,126,0
2806,48,MedGemma 4B,zero-shot,0,9,13,117,0
2807,48,MedGemma 4B,few-shot,0,9,13,117,0
2808,48,MedGemma 4B,chain-of-thought,0,9,13,117,0
2809,48,MedGemma 4B,structured-output,0,9,13,117,0
2810,49,Llama 3.2 3B Instruct,zero-shot,0,7,10,70,0
2811,49,Llama 3.2 3B Instruct,few-shot,0,7,2,14,0
2812,49,Llama 3.2 3B Instruct,chain-of-thought,0,7,10,70,0
2813,49,Llama 3.2 3B Instruct,structured-output,0,7,11,77,0
2814,49,Phi-4-mini 3.8B Instruct,zero-shot,0,7,6,42,0
2815,49,Phi-4-mini 3.8B Instruct,few-shot,0,7,10,70,0
2816,49,Phi-4-mini 3.8B Instruct,chain-of-thought,0,7,17,119,0
2817,49,Phi-4-mini 3.8B Instruct,structured-output,0,7,4,28,0
2818,49,Qwen 2.5 3B Instruct,zero-shot,0,7,12,84,0
2819,49,Qwen 2.5 3B Instruct,few-shot,0,7,11,77,0
2820,49,Qwen 2.5 3B Instruct,chain-of-thought,0,7,10,70,0
2821,49,Qwen 2.5 3B Instruct,structured-output,0,7,5,35,0
2822,49,Gemma-SEA-LION v4 4B,zero-shot,0,7,12,84,0
2823,49,Gemma-SEA-LION v4 4B,few-shot,0,7,15,105,0
2824,49,Gemma-SEA-LION v4 4B,chain-of-thought,0,7,11,77,0
2825,49,Gemma-SEA-LION v4 4B,structured-output,0,7,12,84,0
2826,49,MedGemma 4B,zero-shot,0,7,15,105,0
2827,49,MedGemma 4B,few-shot,0,7,17,119,0
2828,49,MedGemma 4B,chain-of-thought,0,7,15,105,0
2829,49,MedGemma 4B,structured-output,0,7,15,105,0
2830,50,Llama 3.2 3B Instruct,zero-shot,0,4,6,24,0
2831,50,Llama 3.2 3B Instruct,few-shot,0,4,5,20,0
2832,50,Llama 3.2 3B Instruct,chain-of-thought,0,4,6,24,0
2833,50,Llama 3.2 3B Instruct,structured-output,0,4,1,4,0
2834,50,Phi-4-mini 3.8B Instruct,zero-shot,0,4,3,12,0
2835,50,Phi-4-mini 3.8B Instruct,few-shot,0,4,2,8,0
2836,50,Phi-4-mini 3.8B Instruct,chain-of-thought,0,4,4,16,0
2837,50,Phi-4-mini 3.8B Instruct,structured-output,0,4,1,4,0
2838,50,Qwen 2.5 3B Instruct,zero-shot,0,4,7,28,0
2839,50,Qwen 2.5 3B Instruct,few-shot,0,4,2,8,0
2840,50,Qwen 2.5 3B Instruct,chain-of-thought,0,4,8,32,0
2841,50,Qwen 2.5 3B Instruct,structured-output,0,4,2,8,0
2842,50,Gemma-SEA-LION v4 4B,zero-shot,0,4,9,36,0
2843,50,Gemma-SEA-LION v4 4B,few-shot,0,4,9,36,0
2844,50,Gemma-SEA-LION v4 4B,chain-of-thought,0,4,9,36,0
2845,50,Gemma-SEA-LION v4 4B,structured-output,0,4,4,16,0
2846,50,MedGemma 4B,zero-shot,0,4,12,48,0
